"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"WireConnection_2.50mmDrill";1;"1.5V";;;
2;"C1";"C_1210_HandSoldering";1;"22P";;;
3;"C2";"C_1206";1;"100n";;;
4;"C3,C6";"C_Disc_D7.0mm_W2.5mm_P5.00mm";2;"10n";;;
5;"C4";"C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02";1;"33n";;;
6;"C5";"C_Rect_L10.0mm_W3.0mm_P7.50mm_FKS3_FKP3";1;"100n";;;
7;"C7";"CP_Radial_D7.5mm_P2.50mm";1;"100uF";;;
8;"Headphones1";"RV_Disc_D7_W4_P5";1;"64ohm";;;
9;"L1,L2";"Neosid_Inductor_SM-PIC0602H";2;"2.2nH";;;
10;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"470k";;;
11;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
12;"R3,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1M";;;
13;"R4,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4.7k";;;
14;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"56k";;;
15;"S1";"WireConnection_1.50mmDrill";1;"switch on/off";;;
16;"T3";"TO-92_Molded_Narrow";1;"BC547";;;
17;"VC1";"CP_Radial_Tantal_D4.5mm_P5.00mm";1;"20p";;;
18;"VC2";"CP_Radial_Tantal_D5.0mm_P2.50mm";1;"5p";;;
19;"VR1";"Potentiometer_Alps_RK097_Single_Vertical";1;"POT 10k";;;
20;"T2";"TO-92_Molded_Wide_Oval";1;"BC547";;;
21;"T4";"TO-92_Inline_Wide";1;"BC547";;;
22;"T1";"TO-92_Inline_Wide";1;"BF199";;;
